experiment,base_model,classifier,features,accuracy,precision,recall,f1,auroc
two_feature,gpt2,LogisticRegression,ppl_human+ppl_pooled_ai,0.8230000000000001,0.8243350228828203,0.99,0.8995291100146741,0.78871875
two_feature,gpt2,SVM_RBF,ppl_human+ppl_pooled_ai,0.8119999999999999,0.8103908171403006,0.99875,0.8947548316017213,0.725625
two_feature,gpt2,RandomForest,ppl_human+ppl_pooled_ai,0.79,0.8376076275837778,0.9149999999999998,0.8745395301844041,0.709875
full_feature,gpt2,LogisticRegression,all_ppl_columns,0.825,0.8246858702924914,0.9925,0.9007908458923979,0.8194062499999999
full_feature,gpt2,SVM_RBF,all_ppl_columns,0.8069999999999998,0.8088341522574544,0.99375,0.8917743018128496,0.81375
full_feature,gpt2,RandomForest,all_ppl_columns,0.8009999999999999,0.8320571578022793,0.9412499999999999,0.8831561178661953,0.7310625
cross_system_holdout_gpt-5,gpt2,LogisticRegression,ppl_human+ppl_pooled_ai,0.5825,0.5452054794520548,0.995,0.704424778761062,0.82695
cross_system_holdout_gpt-5,gpt2,SVM_RBF,ppl_human+ppl_pooled_ai,0.5525,0.528,0.99,0.6886956521739132,0.7704000000000001
cross_system_holdout_gpt-5,gpt2,RandomForest,ppl_human+ppl_pooled_ai,0.9625,1.0,0.925,0.961038961038961,0.9685374999999999
cross_system_holdout_gpt-5-mini,gpt2,LogisticRegression,ppl_human+ppl_pooled_ai,0.575,0.5418994413407822,0.97,0.6953405017921146,0.7996
cross_system_holdout_gpt-5-mini,gpt2,SVM_RBF,ppl_human+ppl_pooled_ai,0.5475,0.525065963060686,0.995,0.6873920552677029,0.75465
cross_system_holdout_gpt-5-mini,gpt2,RandomForest,ppl_human+ppl_pooled_ai,0.95,1.0,0.9,0.9473684210526316,0.9707375
cross_system_holdout_grok-3,gpt2,LogisticRegression,ppl_human+ppl_pooled_ai,0.5875,0.5495750708215298,0.97,0.7016274864376132,0.7838749999999998
cross_system_holdout_grok-3,gpt2,SVM_RBF,ppl_human+ppl_pooled_ai,0.55,0.5264550264550265,0.995,0.6885813148788927,0.755675
cross_system_holdout_grok-3,gpt2,RandomForest,ppl_human+ppl_pooled_ai,0.9375,1.0,0.875,0.9333333333333333,0.966375
cross_system_holdout_llama-3.3-70b-instruct,gpt2,LogisticRegression,ppl_human+ppl_pooled_ai,0.5875,0.5490196078431373,0.98,0.703770197486535,0.751925
cross_system_holdout_llama-3.3-70b-instruct,gpt2,SVM_RBF,ppl_human+ppl_pooled_ai,0.5625,0.5335120643431636,0.995,0.6945898778359512,0.73135
cross_system_holdout_llama-3.3-70b-instruct,gpt2,RandomForest,ppl_human+ppl_pooled_ai,0.91,1.0,0.82,0.9010989010989011,0.9601875000000001
model_scale_ablation,gpt2-medium,LogisticRegression,ppl_human+ppl_pooled_ai,0.819,0.8222269933411643,0.9875,0.8972284927339679,0.7871249999999999
model_scale_ablation,gpt2-medium,SVM_RBF,ppl_human+ppl_pooled_ai,0.8109999999999999,0.8095932101224699,0.99875,0.8942589898230937,0.7302500000000001
model_scale_ablation,gpt2-medium,RandomForest,ppl_human+ppl_pooled_ai,0.7860000000000001,0.8374053740925355,0.9100000000000001,0.8718577915586477,0.696109375
model_scale_ablation,gpt2-large,LogisticRegression,ppl_human+ppl_pooled_ai,0.819,0.8221424196489588,0.9875,0.897248590393146,0.8197812499999999
model_scale_ablation,gpt2-large,SVM_RBF,ppl_human+ppl_pooled_ai,0.818,0.8154269492455496,0.99875,0.8977959692844715,0.7826875
model_scale_ablation,gpt2-large,RandomForest,ppl_human+ppl_pooled_ai,0.8109999999999999,0.850989476113735,0.9262500000000001,0.8868607215791788,0.7057031250000001
model_scale_ablation,gpt2-xl,LogisticRegression,ppl_human+ppl_pooled_ai,0.826,0.8253899095890048,0.9925,0.901250677611249,0.8081562499999999
model_scale_ablation,gpt2-xl,SVM_RBF,ppl_human+ppl_pooled_ai,0.8160000000000001,0.8137264045398236,0.99875,0.8967745432780079,0.7656562499999999
model_scale_ablation,gpt2-xl,RandomForest,ppl_human+ppl_pooled_ai,0.8029999999999999,0.8415442373619946,0.92875,0.8828648249759559,0.723203125
